name,Fruit,Milk,Meat,Vegetable,Aquatic-product
mianzhu,16945,54001,1800,224474,7600
jiangyou,34699,79359,2300,313424,10600
emeishan,18100,39183,741,120075,3008
langzhong,92212,91669,30,365365,12980
huaning,1536,29851,321,100216,3400
wanyuan,7250,67382,15,157495,2770
jianyang,75000,189086,12788,310925,43900
xichang,41804,88649,32854,381218,12800
qingzhen,9360,28726,1575,243844,2680
chishui,7034,11708,0,108725,1270
renhuai,16434,41083,0,154190,1092
tongren,6788,18596,0,151200,2530
xingyi,23308,40755,580,306236,12408
bijie,18403,52881,79,347913,369
kaili,4221,20163,808,204508,1827
duyun,6585,20433,1105,124990,1615
fuquan,9500,12173,98,31777,488
anning,13418,41615,3198,172239,1620
xuanwei,14322,325335,440,213131,8756
chuxiong,9500,46682,2122,96822,3956
gejiu,31990,33535,12769,107004,4204
kaiyuan,20912,28991,602,134933,4150
jinghong,163297,11662,0,31926,13093
dali,11781,67474,151729,158543,13324
ruili,13189,13343,45,14129,5657
luxi,5827,19233,1680,58414,4840
rikaze,,26,3747,8973,61948
xingping,116205,34156,21216,268915,840
hancheng,84833,6819,1300,127090,390
huayin,6069,2324,2190,36592,1470
yumen,2953.3,7309.7,5436,110341,148.7
dunhuang,78989.3,5699.8,3636,150249.4,258
linxia,7314,3608.3,2424,84926,156
hezuo,0,3544.8,5664,1600,0
geermu,123,3527,1238,36468,35
delingha,15,2892,1782,5554,226
lingwu,57332,13840,57009,65049,1590
qingtongxia,77391,25022,67159,168576,5846
tulufan,394074,20386,8882,125585,232
hami,83160,19663,30013,82640,1180
changji,52915.2,68149.5,134270,983475.1,8700
fukang,13087,56987,35272,306477,240
bole,919,7499,9606,41813,525
kuerle,304810,18117,17820,97215,649
akesu,226545,35102,15002,219751,2028
atushi,88564,12110,13649,10199,167
kashi,64826,22508,11000,197600,685
hetian,15729,8732,2100,68537,633
yining,17528,10014,29096,216434,3230
kuitun,0,2769,560,40488,0
tacheng,7644,15307,35420,104031,480
wusu,3003,27161,17376,785922,987
aletai,433,15352,62360,12886,530
shihezi,64188,43814,120788,1041190,4191
alaer,163432,9939,12035,62764,2090
tumushuke,38478,7278,3369,40445,565
wujiaqu,3435,15963,10907,455269,1323
